    Universidad de Costa Rica   
       Proyecto Eléctrico       
         II Ciclo 2017          
          openHand_Right.csv        
 Author: Pablo Avila B30724     

 Media:
 Max Deviation:
 Standar Deviation:

,LEFT HAND:, , , , , , , , , , , , , , , , , , , , RIGHT HAND:
,Thumb, , , ,Index, , , ,Middle, , , ,Ring, , , ,Pinky, , , ,Thumb, , , ,Index, , , ,Middle, , , ,Ring, , , ,Pinky
,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,
, , , , , , , , , , , , , , , , , , , , ,57.8158,57.3861,76.3358,95.7933,21.7481,48.5536,77.0332,95.4576,12.6899,46.444,82.2868,104.389,20.0172,42.5942,74.6776,95.797,33.2505,45.0691,64.1123,78.8123,
, , , , , , , , , , , , , , , , , , , , ,57.8158,57.4111,76.3944,95.8091,21.7481,48.5535,77.033,95.4574,12.6899,46.445,82.2883,104.39,20.0172,42.5925,74.6758,95.7961,33.2505,45.0757,64.1254,78.8302,
, , , , , , , , , , , , , , , , , , , , ,57.8158,57.425,76.4352,95.8016,21.7481,48.552,77.0302,95.4537,12.6899,46.4474,82.2921,104.395,20.0172,42.5896,74.672,95.7932,33.2504,45.0775,64.1307,78.84,
, , , , , , , , , , , , , , , , , , , , ,57.8158,57.4035,76.4081,95.7167,21.7481,48.5517,77.0296,95.4526,12.6899,46.4492,82.295,104.398,20.0172,42.5864,74.668,95.7902,33.2505,45.0778,64.1326,78.8454,
, , , , , , , , , , , , , , , , , , , , ,57.8158,57.3891,76.3957,95.6907,21.7481,48.5518,77.0296,95.4525,12.6899,46.4503,82.2967,104.401,20.0172,42.5842,74.6656,95.7889,33.2505,45.0779,64.1334,78.8471,
, , , , , , , , , , , , , , , , , , , , ,57.8158,57.3816,76.394,95.6766,21.7481,48.5521,77.0301,95.4529,12.6899,46.4518,82.2993,104.404,20.0172,42.5835,74.6655,95.7907,33.2505,45.0794,64.1365,78.8517,
, , , , , , , , , , , , , , , , , , , , ,57.8158,57.3707,76.3873,95.6541,21.7481,48.5524,77.0305,95.4533,12.6899,46.4556,82.3052,104.411,20.0172,42.5807,74.6621,95.7879,33.2505,45.0812,64.1406,78.858,
, , , , , , , , , , , , , , , , , , , , ,57.8158,57.3691,76.399,95.6734,21.7481,48.553,77.0314,95.4542,12.6899,46.4571,82.3074,104.413,20.0172,42.5793,74.6607,95.7875,33.2505,45.0838,64.1457,78.8646,
, , , , , , , , , , , , , , , , , , , , ,57.8158,57.3652,76.3971,95.6652,21.7481,48.5534,77.0321,95.4549,12.6899,46.4577,82.3082,104.414,20.0172,42.5768,74.659,95.7894,33.2505,45.0848,64.1473,78.8662,
, , , , , , , , , , , , , , , , , , , , ,57.8158,57.3642,76.3996,95.6712,21.7481,48.5539,77.0329,95.4558,12.6899,46.4593,82.3109,104.418,20.0172,42.5751,74.6586,95.7925,33.2505,45.0854,64.1487,78.8683,
