    Universidad de Costa Rica   
       Proyecto Eléctrico       
         II Ciclo 2017          
          openHand_Both_Soro.csv        
 Author: Pablo Avila B30724     

 Media:
 Max Deviation:
 Standar Deviation:

,LEFT HAND:, , , , , , , , , , , , , , , , , , , , RIGHT HAND:
,Thumb, , , ,Index, , , ,Middle, , , ,Ring, , , ,Pinky, , , ,Thumb, , , ,Index, , , ,Middle, , , ,Ring, , , ,Pinky
,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,
Left Hand,58.597,53.799,63.2465,80.1873,22.042,49.4146,78.3921,97.0749,12.8613,47.1649,83.5395,105.959,20.2877,43.0116,75.4805,96.9177,33.6997,45.7873,65.1638,80.0692,55.6016,50.1026,63.4126,83.8854,20.9152,46.7761,74.2293,91.9514,12.2039,44.7593,79.2727,100.504,19.2506,41.2213,72.237,92.6364,31.977,43.4249,61.8205,76.0147,
Left Hand,58.597,53.8067,63.2559,80.1908,22.042,49.4135,78.3901,97.0723,12.8613,47.164,83.5378,105.957,20.2877,43.0099,75.4776,96.9142,33.6997,45.7868,65.1626,80.067,55.6016,50.0985,63.3981,83.8659,20.9152,46.7762,74.2295,91.9518,12.2039,44.7592,79.2727,100.505,19.2506,41.2279,72.2441,92.6389,31.977,43.4283,61.8253,76.0171,
Left Hand,58.597,53.8097,63.2585,80.1896,22.042,49.4104,78.3846,97.0652,12.8613,47.1645,83.5385,105.957,20.2877,43.0086,75.475,96.9103,33.6997,45.7869,65.1623,80.0658,55.6016,50.0994,63.3981,83.8647,20.9152,46.7763,74.2297,91.9524,12.2039,44.7591,79.2727,100.505,19.2506,41.236,72.2535,92.6442,31.977,43.4315,61.8295,76.0187,
Left Hand,58.597,53.8141,63.2629,80.1902,22.042,49.4083,78.3804,97.0593,12.8613,47.1613,83.5323,105.948,20.2877,43.008,75.4734,96.9072,33.6997,45.7878,65.1635,80.0664,55.6016,50.1011,63.4005,83.8666,20.9152,46.7766,74.2304,91.9537,12.2039,44.7589,79.2729,100.507,19.2506,41.243,72.2619,92.6495,31.977,43.4355,61.8348,76.0213,
Left Hand,58.597,53.8186,63.2671,80.1905,22.042,49.4063,78.3768,97.0545,12.8613,47.1564,83.5239,105.937,20.2877,43.0102,75.4761,96.9093,33.6997,45.7869,65.1617,80.0638,55.6016,50.1005,63.3929,83.8543,20.9152,46.7768,74.2308,91.9545,12.2039,44.7586,79.2729,100.508,19.2506,41.2497,72.27,92.6545,31.977,43.4395,61.8404,76.0242,
Left Hand,58.597,53.8219,63.2704,80.1913,22.042,49.4048,78.3738,97.0501,12.8613,47.1541,83.5204,105.933,20.2877,43.0119,75.4778,96.9099,33.6997,45.7848,65.1572,80.0574,55.6016,50.0981,63.3821,83.8389,20.9152,46.7774,74.2319,91.9559,12.2039,44.7585,79.2733,100.51,19.2506,41.2516,72.2717,92.6541,31.977,43.4435,61.8463,76.0282,
Left Hand,58.597,53.8241,63.2726,80.1921,22.042,49.4044,78.3725,97.0476,12.8613,47.1522,83.5173,105.929,20.2877,43.0134,75.4799,96.9118,33.6997,45.7823,65.152,80.0499,55.6016,50.0921,63.3625,83.8129,20.9152,46.7782,74.2335,91.9585,12.2039,44.7585,79.2738,100.511,19.2506,41.2535,72.2733,92.6537,31.977,43.4456,61.8491,76.0293,
Left Hand,58.597,53.8296,63.2791,80.1953,22.042,49.4053,78.3734,97.0476,12.8613,47.1508,83.515,105.926,20.2877,43.0112,75.476,96.9066,33.6997,45.7832,65.1532,80.0506,55.6016,50.0901,63.354,83.8009,20.9152,46.7785,74.2343,91.9604,12.2039,44.7587,79.2742,100.512,19.2506,41.2546,72.2741,92.6527,31.977,43.4498,61.855,76.0328,
Left Hand,58.597,53.8344,63.2844,80.1978,22.042,49.4065,78.3749,97.0483,12.8613,47.1492,83.5127,105.924,20.2877,43.0075,75.4695,96.898,33.6997,45.7835,65.1535,80.0506,55.6016,50.0883,63.3466,83.7906,20.9152,46.7783,74.2343,91.9613,12.2039,44.7589,79.2748,100.513,19.2506,41.2553,72.2741,92.6509,31.977,43.4522,61.8583,76.034,
Left Hand,58.597,53.8354,63.2848,80.1971,22.042,49.4074,78.3761,97.0492,12.8613,47.1471,83.5094,105.92,20.2877,42.9978,75.4537,96.8784,33.6997,45.783,65.1524,80.0487,55.6016,50.0885,63.3454,83.7883,20.9152,46.7784,74.2348,91.9626,12.2039,44.7592,79.2754,100.515,19.2506,41.2555,72.2738,92.6493,31.977,43.4538,61.8599,76.0336,
