    Universidad de Costa Rica   
       Proyecto Eléctrico       
         II Ciclo 2017          
          openHand_Left.csv        
 Author: Pablo Avila B30724     

 Media:
 Max Deviation:
 Standar Deviation:

,LEFT HAND:, , , , , , , , , , , , , , , , , , , , RIGHT HAND:
,Thumb, , , ,Index, , , ,Middle, , , ,Ring, , , ,Pinky, , , ,Thumb, , , ,Index, , , ,Middle, , , ,Ring, , , ,Pinky
,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,
,56.8934,56.2385,76.1293,99.3126,21.4011,47.6347,75.5491,93.617,12.4874,45.384,80.4943,102.185,19.6978,41.1752,72.3412,92.9688,32.7199,43.5404,61.6201,75.8606,
,56.8934,56.2549,76.166,99.3548,21.4011,47.6347,75.5491,93.6171,12.4874,45.3832,80.493,102.184,19.6978,41.1796,72.3428,92.9621,32.7199,43.5327,61.6024,75.8333,
,56.8934,56.2695,76.1948,99.386,21.4011,47.6347,75.5493,93.6175,12.4874,45.3823,80.4916,102.182,19.6978,41.1763,72.3359,92.9516,32.7199,43.5294,61.5904,75.8077,
,56.8934,56.2759,76.2069,99.3986,21.4011,47.6347,75.5493,93.6176,12.4874,45.3805,80.489,102.179,19.6978,41.172,72.3262,92.9357,32.7199,43.5237,61.5792,75.7932,
,56.8934,56.2882,76.232,99.4264,21.4011,47.6353,75.5509,93.6203,12.4874,45.3767,80.4842,102.175,19.6978,41.1705,72.319,92.9201,32.7199,43.5185,61.569,75.78,
,56.8934,56.2955,76.2452,99.4398,21.4011,47.6362,75.5527,93.6229,12.4874,45.374,80.4809,102.173,19.6978,41.1686,72.3165,92.918,32.7199,43.51,61.5504,75.7525,
,56.8934,56.2963,76.2461,99.4406,21.4011,47.6379,75.556,93.6279,12.4874,45.3691,80.4739,102.166,19.6978,41.1656,72.3124,92.9142,32.7199,43.4962,61.5222,75.7139,
,56.8934,56.3014,76.2553,99.4501,21.4011,47.6384,75.5571,93.6296,12.4874,45.3669,80.4705,102.161,19.6978,41.1625,72.3089,92.9124,32.7199,43.4937,61.5174,75.7077,
,56.8934,56.3327,76.3191,99.5206,21.4011,47.6397,75.5596,93.6333,12.4874,45.3619,80.4631,102.153,19.6978,41.1593,72.3047,92.9088,32.7199,43.4936,61.5171,75.7075,
,56.8934,56.338,76.3291,99.5308,21.4011,47.6405,75.5613,93.6358,12.4874,45.3597,80.4601,102.15,19.6978,41.1583,72.3021,92.9043,32.7199,43.4923,61.5151,75.7058,
,56.8934,56.338,76.3289,99.5306,21.4011,47.6426,75.565,93.6405,12.4874,45.3583,80.4582,102.149,19.6978,41.1574,72.3006,92.9023,32.7199,43.4918,61.5146,75.7061,
,56.8934,56.3292,76.3074,99.5051,21.4011,47.6443,75.5681,93.6447,12.4874,45.3598,80.4612,102.153,19.6978,41.1532,72.2948,92.8971,32.7199,43.4897,61.5108,75.7017,
,56.8934,56.3253,76.2957,99.4899,21.4011,47.6454,75.5701,93.6474,12.4874,45.359,80.4611,102.155,19.6978,41.1532,72.2952,92.8981,32.7199,43.4909,61.5128,75.7035,
,56.8934,56.3266,76.298,99.4922,21.4011,47.6467,75.5729,93.6517,12.4874,45.3587,80.4607,102.155,19.6978,41.1517,72.293,92.8958,32.7199,43.4912,61.513,75.7032,
,56.8934,56.3346,76.3124,99.507,21.4011,47.6482,75.5763,93.657,12.4874,45.3596,80.4623,102.157,19.6978,41.1512,72.2923,92.8951,32.7199,43.491,61.5126,75.7027,
,56.8934,56.3378,76.3181,99.5128,21.4011,47.6501,75.58,93.6625,12.4874,45.3576,80.4592,102.153,19.6978,41.1507,72.2916,92.8944,32.7199,43.4918,61.5141,75.7046,
,56.8934,56.3397,76.3212,99.5156,21.4011,47.6506,75.5816,93.6656,12.4874,45.3552,80.4557,102.149,19.6978,41.1511,72.2917,92.8938,32.7199,43.4911,61.5126,75.7021,
,56.8934,56.3448,76.33,99.5238,21.4011,47.6516,75.5837,93.6689,12.4874,45.3544,80.4544,102.148,19.6978,41.1518,72.2925,92.8941,32.7199,43.4898,61.5099,75.6986,
,56.8934,56.3447,76.3287,99.5212,21.4011,47.6526,75.5856,93.6713,12.4874,45.3537,80.4535,102.147,19.6978,41.1518,72.2921,92.8931,32.7199,43.4885,61.507,75.6939,
,56.8934,56.3255,76.2851,99.4709,21.4011,47.6562,75.5917,93.6787,12.4874,45.3521,80.451,102.144,19.6978,41.1453,72.2811,92.879,32.7199,43.4868,61.5009,75.6809,
,56.8934,56.34,76.3166,99.508,21.4011,47.6575,75.5943,93.6825,12.4874,45.3493,80.4472,102.14,19.6978,41.1394,72.271,92.8658,32.7199,43.482,61.4865,75.6532,
,56.8934,56.3486,76.3347,99.5292,21.4011,47.6574,75.5942,93.6825,12.4874,45.3463,80.4426,102.135,19.6978,41.1394,72.2667,92.8544,32.7199,43.4771,61.4708,75.622,
,56.8934,56.3584,76.3567,99.5549,21.4011,47.6559,75.5919,93.6804,12.4874,45.3419,80.4359,102.127,19.6978,41.1723,72.3155,92.9065,32.7199,43.4612,61.4337,75.563,
,56.8934,56.3652,76.3692,99.5675,21.4011,47.6513,75.5844,93.6717,12.4874,45.3391,80.4318,102.123,19.6978,41.211,72.3717,92.9646,32.7199,43.4572,61.4198,75.5336,
,56.8934,56.342,76.3187,99.5097,21.4011,47.6504,75.5829,93.6702,12.4874,45.3336,80.4232,102.113,19.6978,41.271,72.4678,93.0792,32.7199,43.4585,61.4213,75.5339,
,56.8934,56.3087,76.2496,99.434,21.4011,47.6505,75.584,93.6729,12.4874,45.3319,80.4196,102.107,19.6978,41.2731,72.4712,93.0835,32.7199,43.4688,61.4396,75.5538,
,56.8934,56.273,76.1757,99.3531,21.4011,47.6499,75.5834,93.6729,12.4874,45.3294,80.4151,102.101,19.6978,41.2727,72.4704,93.0823,32.7199,43.4699,61.4414,75.5556,
